,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
0,61,74,79,83,3,137,107,164,37,29,101,152,35,46,180,82
1,153,185,248,34,252,109,186,98,127,221,125,211,103,169,240,72
2,170,162,223,80,96,75,246,155,71,17,108,50,56,166,165,92
3,175,66,174,28,87,45,89,105,119,58,249,251,10,38,230,73
4,219,231,53,134,181,68,190,195,236,47,111,201,25,227,151,193
5,187,102,207,213,194,178,6,244,182,15,67,184,216,88,130,235
6,173,177,215,161,242,117,100,179,133,217,86,118,76,145,94,126
7,99,141,20,229,84,158,228,91,149,222,104,159,49,226,11,43
8,160,243,168,140,220,48,210,55,232,241,147,21,183,93,148,23
9,77,139,62,51,44,206,27,172,131,81,32,30,90,245,31,24
10,156,250,52,209,167,234,69,7,120,9,188,203,124,171,41,163
11,8,254,39,106,233,121,116,60,214,129,136,2,65,224,135,54
12,239,59,204,78,176,128,196,154,208,12,22,0,138,64,237,122
13,238,42,114,189,13,97,112,205,197,255,132,63,113,4,40,19
14,70,33,225,198,199,157,26,36,191,95,146,150,110,57,85,18
15,200,16,202,14,143,218,1,192,247,123,142,115,5,253,144,212
